words,count,Count1
chilling,1,
created,2,
Certain,1,
call,1,
bone,1,
decisive,1,
rushing,1,
Reporters,1,
Hoyt,1,
ship,,3
"tons""",1,
sapphire,,1
heat,2,
reality,1,
suicideAfter,1,
Boat,1,
order,1,
However,,4
Murdoch's,4,
been,11,
Cal's,1,
suicide,3,
wreck,1,
fantasies,1,
80,1,
over,3,
waters.,1,
pier,1,
Asprey,1,
F,,2
swallowed,1,
forewell,1,
make,2,
fifty-eight,1,
honeymoon,,1
any,1,
friend,,1
Fourth,1,
presented,1,
Quartermaster,1,
Boxhall,1,
tune,1,
Officer,10,
are,6,
8,,1
diamond,3,
ended,2,
away,1,
live,,1
sunk?,1,
element,1,
times,1,
Only,3,
Candee,,1
widely,1,
Isador,5,
occupants,1,
go,,1
barred,1,
Tuesday,,1
Spa,,1
"world""",1,
going,1,
reversal,1,
Dr.,2,
funnel.,1,
"us.""",1,
historians,1,
infections,1,
Yet,,1
them,2,
clings,1,
areas,,1
Marie,1,
final,1,
170-carat,1,
falls,1,
dining,1,
boarding,1,
Lancashire,,1
"""Typical",1,
film,,1
air.,1,
"himself.""",1,
lifeboat.,4,
saves,1,
long,2,
found,2,
English,,1
After,3,
"unsinkable.""",1,
jewelry,2,
Celine,1,
"go.""",1,
even,4,
portrayal,1,
comfortable,,1
Museum,2,
rather,1,
left.,1,
locked,2,
day,1,
history.,3,
certain,2,
leaving,2,
responded,1,
class,13,
sick,1,
lined,1,
rest,1,
movie,9,
when,1,
temperature,3,
Despite,1,
brown,1,
photo,4,
disguising,1,
flannel,1,
aware,,1
has,1,
thinned,1,
four,4,
suggest,1,
exhaustion.,1,
Ceremony.,1,
New,4,
survived,2,
set,1,
1889,1,
Robert,2,
Director,2,
body,9,
sections,1,
Washington,1,
Cairo,,1
Industry,1,
spent,1,
Managing,2,
portions,1,
exonerating,1,
4,,2
bribe,1,
75,1,
boilers,3,
Society,1,
pair,1,
injured;,1,
covered,1,
As,5,
Near,1,
Lemercier,1,
flew,1,
Coeur,1,
need,1,
scene,2,
stop,1,
Captain,12,
Titanic,,4
States.,1,
titanic,1,
three,3,
six,1,
Lifeboat,5,
"down.""",1,
why,1,
crucified,1,
quickly,2,
couple,4,
Washington,,2
A.M.,1,
film.How,1,
weren't,1,
Scotland,1,
lifeboat,5,
Leconte,,1
found,,1
A.M.,,1
Saalfeld,1,
degree,,1
Specifically,,1
near,2,
went,10,
right,2,
this,3,
there,,1
heard,2,
replica,2,
Murdoch,3,
upon,1,
some,7,
refused,1,
embalmedOn,1,
first,6,
bow,1,
Second,1,
just,2,
None,1,
entrance,1,
go,5,
poor,1,
asked,2,
performance,1,
handcuffed,1,
accepting,1,
ship.,5,
decided,2,
Studio,1,
reversed,,1
measure,1,
second,1,
decks,,1
passenger,3,
real,3,
Baja,1,
"""We",2,
featured,1,
transmitting,1,
feet,2,
Titanic.,3,
When,6,
22-year-old,1,
works,1,
into,13,
Henry,1,
enter,2,
there,4,
picked,1,
how,1,
Can,1,
society,1,
await,2,
collection.,1,
Very,1,
apart,4,
How,2,
"""Captain",1,
streets,1,
traveling,2,
Passenger,1,
Collapsible,1,
published,1,
baby,1,
necklace,1,
photo,,1
Among,1,
Churchill,1,
Billy,1,
Wetherby,1,
Ocean,4,
play,1,
4,1,
Star,4,
shirt,1,
currently,1,
eight-man,1,
came,1,
They,1,
Senate's,1,
Discovery,1,
friendship,1,
never,6,
1st,1,
one,8,
Mrs.,2,
hypothermia,1,
hour,1,
sixty-five,1,
ship,21,
article,,1
weather,1,
boat.,1,
women,3,
warning,1,
department,1,
Perkis,1,
galley,1,
movie.,2,
"""Unsinkable",2,
testimony,,2
His,2,
"""My",1,
icebergs,1,
waltzes.,1,
jacket.,1,
interest,1,
